maker_name,maker_id
カネボウ化粧品,5
パルファン・クリスチャン・ディオール,72
コーセー,3
かならぼ,107147
イミュ,266
セザンヌ化粧品,105
iFAMILYSC,110739
イヴ・サンローラン・ボーテ,114
Laka COSMETICS,117231
クラランス,86
ナーズ ジャパン,3775
RMK Division,102763
資生堂,2
井田ラボラトリーズ,39
シャネル,94
資生堂インターナショナル,191
エキップ,65
ADDICTION,13426
M・A・C,82
コスメデコルテ,102317
ゲラン,85
Rainmakers,115012
トゥー フェイスド,110608
LETS麗知,116204
コージー本舗,70
OSAJI,118451
伊勢半,492
アルビオン,8
ジルスチュアート,7693
メイベリン ニューヨーク,31
BBIA,117541
ACRO,13572
花王,24
AMUSE,113472
ＲＯＭ Ｉｎｔｅｒｎａｔｉｏｎａｌ,116763
パルファム ジバンシイ〔LVMHフレグランスブランズ〕,208
エトヴォス,10961
アモーレパシフィックジャパン,9164
DOOWON,108045
VIVAWAVE,110715
エリザベス,146
NATURE REPUBLIC,107084
BENOW,114306
Clue,109269
コーセーコスメポート,28
レブロン,32
ローラ メルシエ,102674
エテュセ,26
YOSHIKAWA OPERATING JAPAN,115549
Direct Tech,111191
MERY,116932
Nuzzle,115474
ロート製薬,195
シュウ ウエムラ,7
ポール ＆ ジョー ボーテ,6690
ちふれ化粧品,34
コーセーコスメニエンス,27
ミシャ ジャパン,9460
TIRTIR,111558
マッシュビューティーラボ,103384
常盤薬品工業,784
BitStar,116329
リンメル,6923
Dasique,114967
ドゥ・ラ・メール,398
ボビイ ブラウン,67
アモーレパシフィック(海外),12526
トム フォード ビューティ,10761
クリニーク ラボラトリーズ,101298
ポーラ,116
ランコム,110
T-Garden,11950
上海橘宜化粧品,115810
日本ロレアル,1791
SHEIN,117463
クラブコスメチックス,6687
CLIO COSMETICS,6686
CJ OLIVE YOUNG,110738
オルヴェオン グローバル ジャパン,11359
Beautydoors,110635
ジョルジオ アルマーニ ビューティ,2421
ヤーマン,3069
Guangzhou Yatsen Global,115268
LCM Cosmetics,116931
ブリリアージュ,12850
ユニリーバ・ジャパン,101
theplusinteractive,118745
イヴ,9986
keybo,114679
スタイリングライフ・ホールディングス BCL カンパニー,8423
AkaraN(アカラン),103976
LVMHコスメティック,1261
エスティ ローダー,1102
フローフシ,12843
ドルチェ＆ガッバーナ ビューティ,109443
エルメスジャポン,137
カバーマーク,21
mano mano,116348
