review_content,published_at,reviewer_name,followers_level,method_of_acquisition,product_id,reviewer_id,reviews_count,reviewer_age,reviewer_skin_type,rating,effects,review_id
"色味はすごく可愛いのですが私との相性が良くないのか内側から剥がれるような輪郭だけ残るような汚い落ち方をします。その時の食事との相性が悪かったのかも。
でも色味がすごく可愛い。フレッシュネスを購入後すぐ使用して「落ち方がな?…」となりましたが別の限定色を買ってしまったくらい色味は可愛いです。こまめになおせるならいいと思います。
私がティントに慣れすぎたのかもな??。",2024/6/21 22:21:59,ぽるぽるて,5,購入品,10205813,6080717,135,33,普通肌,5,,513778632
"
発色がいいです。塗り心地もリップクリームのようにするっとして好きです。イエベ春向きかなとも思いましたがイエベ秋でも似合う！華やかで可愛くて気分が上がります。唇の縦じわも気にならないし、荒れたりもしないです。持ちも悪くないと思います。
",2024/6/9 23:34:09,ハルカ5167,,購入品,10205813,8692863,29,42,乾燥肌,7,うるおい|ツヤ|持ちがよい・落ちにくい|発色がよい,513719672
"定番になる予感です！

最近なかなか似合う色の口紅を見つけることができずにいたのですが、買った２点以外にも、自分の肌に馴染みやすい色が豊富だと思いました。

118
派手にはしたくないけど、メイクしてる感は欲しいという時にぴったりです。
どんな服にも無難に似合うと思います。

114
買うつもりはなかったのに、店頭で試して一目惚れしました。ブルベ向きです。
こちらは色が深いのでちょっと華やかにしたい時。でも決してけばけばしくありません。

ココフラッシュを愛用していましたが、落ちるのが早いなあと感じていて、しかし超乾燥唇の私には潤い感がありがたかったので、化粧直し要員として用いていました。
一方本商品は、フラッシュ程ではないけれど、求めている潤いがありつつ、なんと食事をした後でもちゃんと色が残っていて驚きました。

価格の割に量が少ないのだけが残念ではありますが、コンパクトなパッケージは持ち運びに便利で気に入っています。

「もうずっとこれでいいじゃん！」「なぜ今まで試さなかったんだろう」という気持ちです。",2024/4/25 04:11:26,パスティラ,,購入品,10205813,1045741,49,58,乾燥肌,6,うるおい|フィット感|持ちがよい・落ちにくい|発色がよい,513540867
"NARSのパワーマットリップが欲しくて店頭へ行きました。
もともと唇の色が赤みがあり、気に入ったリップを塗っても全然イメージと違う発色になってしまうのでいつも赤みのないブラウンリップばかりになっています。。

気になっていたパワーマットのリップをつけてもらったところやはり思った色味と違く赤みが強く出てしまい断念。
NARSの店頭でリップのタッチアップは2色までとのことだったので今回は諦めようと思ったところ、こちらが並んでいるのが目に入りました。

パケ買いしても良いくらい見た目がかわいくて、グロスの購入は全然考えてなかったのですがせっかくなので普段選ばない色味をタッチアップしてもらいました。グロスだし...
がしかし、素の唇に塗るとなぜか赤みを抑えられた自然なピンクになり、これだけでも不自然じゃない！と久しぶりに感動しました。
手持ちのマットやツヤ系のブラウンリップに塗っても浮かず、乾燥せず、時間が経ってもブラウンの色味は消えずにややツヤ感の残る感じになっていてすごく気に入りました。
リップによっては唇がすぐ荒れてしまうのですが、こちらは全く荒れないのでリピ確定です。
",2024/6/25 09:52:32,ゆきべっちょ,5,購入品,10203820,9141616,49,44,乾燥肌,7,うるおい|ツヤ|肌の透明感・薄づき|フィット感|持ちがよい・落ちにくい|発色がよい,513793432
"
これからの季節夏用にぴったり、唇も荒れることなく良いリップです。
",2024/6/21 18:45:53,c1126,,購入品,10203820,10142944,5,50,乾燥肌,5,,513777858
"
リップに重ねるとシアーに仕上がり唇の潤いもキープしてくれるので真冬の唇にもうれしいです。形状もスタイリッシュなので小さいカバンの時でしたりお祝いの時のカバンの時にもおすすめです。
",2024/6/19 17:52:55,まいまいまいまい姫,,購入品,10203820,5472810,53,42,混合肌,5,うるおい|ツヤ|フィット感|発色がよい,513768954
"
11番の青みピンクを買いました。写真で見るよりも青みがあった印象です。意外と持っていない色なのと私には馴染んだので、一軍だと思えるほどの色ではないですが何気に使えるなーと思いました。
",2024/6/25 06:43:36,三越95,,購入品,10170563,9613969,52,29,混合肌,4,,513793008
"
05番を購入しました。とても可愛い色で気に入ってきます！
",2024/5/26 13:54:17,:::Katie:::,5,購入品,10170563,6191809,117,43,乾燥肌,6,,513658881
"
SNSでリサーチして購入に至りました。癖のない大人っぽいカラーで、お気に入りです！
",2024/5/9 23:31:43,yukatany,,購入品,10170563,6802772,25,30,普通肌,5,,513596079
"
乾燥せず使えるマットで良いです。
",2024/6/4 17:37:17,おなつ27,,購入品,10235574,7473487,87,38,混合肌,4,,513693666
