maker_name,maker_id
カネボウ化粧品,5
パルファン・クリスチャン・ディオール,72
コーセー,3
かならぼ,107147
イミュ,266
セザンヌ化粧品,105
iFAMILYSC,110739
イヴ・サンローラン・ボーテ,114
Laka COSMETICS,117231
クラランス,86
ナーズ ジャパン,3775
RMK Division,102763
資生堂,2
井田ラボラトリーズ,39
シャネル,94
資生堂インターナショナル,191
エキップ,65
ADDICTION,13426
M・A・C,82
コスメデコルテ,102317
Rainmakers,115012
ゲラン,85
コージー本舗,70
LETS麗知,116204
トゥー フェイスド,110608
OSAJI,118451
伊勢半,492
アルビオン,8
ジルスチュアート,7693
メイベリン ニューヨーク,31
BBIA,117541
ACRO,13572
AMUSE,113472
ＲＯＭ Ｉｎｔｅｒｎａｔｉｏｎａｌ,116763
エトヴォス,10961
パルファム ジバンシイ〔LVMHフレグランスブランズ〕,208
アモーレパシフィックジャパン,9164
BENOW,114306
DOOWON,108045
NATURE REPUBLIC,107084
VIVAWAVE,110715
エリザベス,146
コーセーコスメポート,28
Clue,109269
レブロン,32
ローラ メルシエ,102674
エテュセ,26
YOSHIKAWA OPERATING JAPAN,115549
Direct Tech,111191
MERY,116932
TIRTIR,111558
ロート製薬,195
シュウ ウエムラ,7
Nuzzle,115474
ポール ＆ ジョー ボーテ,6690
ちふれ化粧品,34
コーセーコスメニエンス,27
常盤薬品工業,784
マッシュビューティーラボ,103384
BitStar,116329
ミシャ ジャパン,9460
リンメル,6923
ドゥ・ラ・メール,398
Dasique,114967
ボビイ ブラウン,67
アモーレパシフィック(海外),12526
トム フォード ビューティ,10761
クリニーク ラボラトリーズ,101298
ポーラ,116
ランコム,110
T-Garden,11950
SHEIN,117463
上海橘宜化粧品,115810
日本ロレアル,1791
クラブコスメチックス,6687
CLIO COSMETICS,6686
CJ OLIVE YOUNG,110738
オルヴェオン グローバル ジャパン,11359
Beautydoors,110635
theplusinteractive,118745
ジョルジオ アルマーニ ビューティ,2421
ヤーマン,3069
Guangzhou Yatsen Global,115268
LCM Cosmetics,116931
ユニリーバ・ジャパン,101
ブリリアージュ,12850
イヴ,9986
AkaraN(アカラン),103976
keybo,114679
スタイリングライフ・ホールディングス BCL カンパニー,8423
フローフシ,12843
LVMHコスメティック,1261
エスティ ローダー,1102
ドルチェ＆ガッバーナ ビューティ,109443
カバーマーク,21
mano mano,116348
シスレージャパン,98
エルメスジャポン,137
イプサ,89
Firstcanvas,115171
バロックジャパンリミテッド,105006
日本機能性コスメ研究所,108217
MEFACTORY,111597
