valiation_id,product_id,valiation_name,extension,r,g,b,hex_color_code,is_active
1105052,10157840,"CF265(生産終了)",jpg,242,217,205,#F2D9CD,0
1041604,10157840,"205",jpg,236,198,194,#ECC6C2,1
1074287,10157840,"275(生産終了)",jpg,130,77,74,#824D4A,0
1023452,10157840,"210",jpg,199,106,101,#C76A65,1
1115334,10157840,"P285(生産終了)",jpg,182,123,127,#B67B7F,0
1087508,10157840,"SM170(生産終了)",jpg,180,126,131,#B47E83,0
1105053,10157840,"CF270(生産終了)",jpg,169,100,80,#A96450,0
1105051,10157840,"CF260(生産終了)",jpg,204,143,130,#CC8F82,0
1140294,10157840,"MM135",jpg,187,163,139,#BBA38B,1
1074284,10157840,"265(生産終了)",jpg,232,194,177,#E8C2B1,0
1023451,10157840,"135",jpg,153,79,51,#994F33,1
1049474,10157840,"180(生産終了)",jpg,212,165,205,#D4A5CD,0
1023450,10157840,"130",jpg,219,165,162,#DBA5A2,1
1074285,10157840,"270(生産終了)",jpg,230,207,197,#E6CFC5,0
1105050,10157840,"CF255(生産終了)",jpg,190,143,120,#BE8F78,0
1105054,10157840,"CF275(生産終了)",jpg,178,142,141,#B28E8D,0
1049470,10157840,"115(生産終了)",jpg,216,180,205,#D8B4CD,0
1115333,10157840,"P210(生産終了)",jpg,198,135,126,#C6877E,0
1048961,10157840,"5.0ml(生産終了)",jpg,240,196,202,#F0C4CA,0
1115332,10157840,"P170(生産終了)",jpg,190,121,129,#BE7981,0
1049471,10157840,"118",jpg,202,52,63,#CA343F,1
1140290,10157840,"MM35",jpg,216,174,167,#D8AEA7,1
1105055,10157840,"CF280(生産終了)",jpg,168,150,140,#A8968C,0
1074282,10157840,"255(生産終了)",jpg,187,136,112,#BB8870,0
1049473,10157840,"150(生産終了)",jpg,171,66,146,#AB4292,0
1115331,10157840,"P135(生産終了)",jpg,171,96,84,#AB6054,0
1049472,10157840,"120(生産終了)",jpg,196,77,177,#C44DB1,0
1074283,10157840,"260(生産終了)",jpg,203,139,127,#CB8B7F,0
1140293,10157840,"MM118",jpg,194,152,123,#C2987B,1
999436,10157840,"30(生産終了)",jpg,214,101,136,#D66588,0
1035736,10157840,"40(生産終了)",jpg,159,91,116,#9F5B74,0
1049428,10157840,"155(生産終了)",jpg,206,90,183,#CE5AB7,0
999437,10157840,"35(生産終了)",jpg,176,111,161,#B06FA1,0
999435,10157840,"50(生産終了)",jpg,170,78,81,#AA4E51,0
1099541,10157840,"335(生産終了)",jpg,184,97,93,#B8615D,0
1099540,10157840,"350(生産終了)",jpg,179,95,83,#B35F53,0
999434,10157840,"80(生産終了)",jpg,232,155,167,#E89BA7,0
1114112,10157840,"425(生産終了)",jpg,233,204,208,#E9CCD0,0
1073567,10157840,"285(生産終了)",jpg,191,123,118,#BF7B76,0
999431,10157840,"15",jpg,213,148,158,#D5949E,1
1114111,10157840,"400(生産終了)",jpg,243,210,212,#F3D2D4,0
999433,10157840,"20(生産終了)",jpg,210,64,75,#D2404B,0
999432,10157840,"25(生産終了)",jpg,253,199,193,#FDC7C1,0
1114110,10157840,"390(生産終了)",jpg,219,127,160,#DB7FA0,0
1114109,10157840,"225(生産終了)",jpg,236,203,206,#ECCBCE,0
1073569,10157840,"295(生産終了)",jpg,229,196,194,#E5C4C2,0
1049434,10157840,"170",jpg,185,102,144,#B96690,1
1073568,10157840,"290(生産終了)",jpg,201,61,57,#C93D39,0
1049436,10157840,"175",jpg,181,85,144,#B55590,1
1049432,10157840,"165(生産終了)",jpg,184,132,184,#B884B8,0
1049426,10157840,"75(生産終了)",jpg,192,136,138,#C0888A,0
1035738,10157840,"115(生産終了)",jpg,166,71,96,#A64760,0
1035739,10157840,"120(生産終了)",jpg,219,131,166,#DB83A6,0
1049430,10157840,"160(生産終了)",jpg,141,98,120,#8D6278,0
1072172,10157840,"MV80(生産終了)",jpg,201,118,128,#C97680,0
1072173,10157840,"MV117(生産終了)",jpg,176,110,102,#B06E66,0
1072171,10157840,"MV20(生産終了)",jpg,198,118,123,#C6767B,0
1049469,10157840,"70",jpg,193,87,108,#C1576C,1
1072170,10157840,"MV15(生産終了)",jpg,112,85,88,#705558,0
1087512,10157840,"SM118(生産終了)",jpg,214,146,144,#D69290,0
1074288,10157840,"280(生産終了)",jpg,166,147,138,#A6938A,0
1023449,10157840,"125",jpg,228,169,185,#E4A9B9,1
1072174,10157840,"MV210(生産終了)",jpg,181,102,94,#B5665E,0
1023448,10157840,"117",jpg,191,85,77,#BF554D,1
1167356,10157840,"N485 冒険的なヘーゼルナッツプ…",jpg,176,131,129,#B08381,1
1099539,10157840,"360(生産終了)",jpg,210,155,153,#D29B99,0
1087511,10157840,"SM135(生産終了)",jpg,166,90,65,#A65A41,0
1167354,10157840,"N130 情熱のストロベリーディッ…",jpg,218,169,165,#DAA9A5,1
1167355,10157840,"N260 恍惚のムースオショコラ",jpg,206,158,151,#CE9E97,1
1087510,10157840,"SM210(生産終了)",jpg,207,124,110,#CF7C6E,0
1157866,10245106,"ナッツブラウン",jpg,186,128,117,#BA8075,1
1157865,10245106,"ピンクブラウン",jpg,176,133,132,#B08584,1
1084167,10200959,"ピンキング オブ ユー(限定)(生産終了)",jpg,168,130,141,#A8828D,0
1084170,10200959,"フルール ウェルカム (限定)(生産終了)",jpg,162,95,109,#A25F6D,0
1077684,10200959,"ルージュ アウェイクニング",jpg,227,189,188,#E3BDBC,1
1077685,10200959,"フローラル コーラル",jpg,223,196,203,#DFC4CB,1
1077686,10200959,"グレープリー アドマイアード",jpg,171,138,151,#AB8A97,1
1077682,10200959,"スウィート トリート",jpg,217,207,210,#D9CFD2,1
1136796,10200959,"ルージュ アウェイクニング(限定)(生産終了)",jpg,209,151,167,#D197A7,0
1136783,10200959,"バウンシング ブルーム(限定)(生産終了)",jpg,205,150,168,#CD96A8,0
1136797,10200959,"ザット ティックルズ!(限定)(生産終了)",jpg,210,155,172,#D29BAC,0
1077683,10200959,"ザット ティックルズ！",jpg,186,156,159,#BA9C9F,1
1077681,10200959,"ヘイロー アット ミー",jpg,219,233,237,#DBE9ED,1
1136795,10200959,"フローラル コーラル(限定)(生産終了)",jpg,213,153,172,#D599AC,0
1136794,10200959,"ローズ トゥ ジ オケージョン(限…(生産終了)",jpg,206,147,166,#CE93A6,0
1084169,10200959,"ブロッサムズ オア バスト (限定…(生産終了)",jpg,188,120,140,#BC788C,0
